id,wegklasse,hoogteniveau,straatnaam,indicatie_voet_fiets,indicatie_brug,indicatie_tunnel,indicatie_ov_bus,indicatie_spoor,indicatie_toegankelijkheid,type_veer_route,minimum_breedte,maximum_breedte,gewogen_gemiddelde_breedte,weight,maximum_snelheid,start_node_id,end_node_id,datum_extractie,geometrie,geometrie_epsg_4326
571698,osm_platform,0,,True,False,False,False,False,False,,,,,40.74,0.0,259522,259678,2023-07-25,"SRID=28992;LINESTRING(115877.806539255 487751.21336674,115910.484185863 487745.746985495,115917.99230376 487744.497067467)","[(52.37623650414421, 4.812675801150345), (52.37618970414415, 4.813156301150821), (52.376179005369764, 4.81326670148154)]"
571703,osm_platform,0,,True,False,False,False,False,False,,,,,0.64,0.0,259678,259679,2023-07-25,"SRID=28992;LINESTRING(115917.99230376 487744.497067467,115918.624756869 487744.391779491)","[(52.376179005369764, 4.81326670148154), (52.37617810414416, 4.813276001150942)]"
571704,osm_platform,0,,True,False,False,True,False,False,,,,,33.06,0.0,329051,329601,2023-07-25,"SRID=28992;LINESTRING(117990.108145353 486973.004634262,118023.173048796 486972.993467903)","[(52.36938900414005, 4.843780301181082), (52.36939113107621, 4.844265780416585)]"
571710,osm_platform,0,,True,False,False,True,False,False,,,,,28.3,0.0,329601,329643,2023-07-25,"SRID=28992;LINESTRING(118023.173048796 486972.993467903,118051.468440419 486972.983912258)","[(52.36939113107621, 4.844265780416585), (52.36939294962722, 4.8446812307907665)]"
571712,osm_platform,0,,True,False,False,True,False,False,,,,,11.15,0.0,329643,329652,2023-07-25,"SRID=28992;LINESTRING(118051.468440419 486972.983912258,118055.430294867 486972.982574299,118062.491688523 486971.662367329)","[(52.36939294962722, 4.8446812307907665), (52.36939320414009, 4.8447394011820375), (52.36938181411237, 4.844843225727971)]"
571720,osm_platform,0,,True,False,False,True,False,False,,,,,1.02,0.0,329652,329653,2023-07-25,"SRID=28992;LINESTRING(118062.491688523 486971.662367329,118063.489806919 486971.475757868)","[(52.36938181411237, 4.844843225727971), (52.369380204140064, 4.844857901182153)]"
571722,osm_platform,0,,True,False,False,True,False,False,,,,,10.22,0.0,329600,329606,2023-07-25,"SRID=28992;LINESTRING(118018.040178306 486956.772548038,118028.263805193 486956.851730831)","[(52.36924500414002, 4.844192201181483), (52.369246404140064, 4.844342301181634)]"
571726,osm_platform,0,,True,False,False,True,False,False,,,,,11.65,0.0,329606,329610,2023-07-25,"SRID=28992;LINESTRING(118028.263805193 486956.851730831,118039.917789064 486956.942477237)","[(52.369246404140064, 4.844342301181634), (52.36924800414, 4.844513401181798)]"
571734,osm_platform,0,Jan Voermanstraat,True,False,False,True,False,False,,,,,31.97,0.0,308937,308883,2023-07-25,"SRID=28992;LINESTRING(117623.839639123 486996.184163461,117599.078524236 487001.599779836,117592.626527709 487003.106299728)","[(52.369572518505485, 4.838399961923412), (52.36961950414023, 4.83803580117535), (52.36963260414025, 4.837940901175263)]"
571741,osm_platform,0,Jan Voermanstraat,True,False,False,True,False,False,,,,,12.63,0.0,309512,308937,2023-07-25,"SRID=28992;LINESTRING(117636.190745913 486993.55211569,117628.221192377 486995.225853964,117623.839639123 486996.184163461)","[(52.36954970414021, 4.83858160117589), (52.369564204140204, 4.838464401175783), (52.369572518505485, 4.838399961923412)]"
571746,osm_platform,0,Jan Voermamstraat,True,False,False,True,False,False,,,,,13.06,0.0,308930,308934,2023-07-25,"SRID=28992;LINESTRING(117602.19508574 486985.954002728,117614.963973047 486983.194990429)","[(52.369479104140176, 4.838083301175395), (52.36945517764077, 4.8382710884257065)]"
571752,osm_platform,0,Jan Voermamstraat,True,False,False,True,False,False,,,,,9.37,0.0,308934,308940,2023-07-25,"SRID=28992;LINESTRING(117614.963973047 486983.194990429,117619.80619876 486982.148715998,117624.131040716 486981.248065398)","[(52.36945517764077, 4.8382710884257065), (52.36944610414017, 4.838342301175654), (52.36943830414011, 4.838405901175708)]"
571785,osm_platform,0,,True,False,False,False,False,False,,,,,27.38,0.0,361590,361864,2023-07-25,"SRID=28992;LINESTRING(117607.149863246 488019.917094512,117624.550705591 488014.956643915,117633.478907424 488012.407721179)","[(52.37877189993713, 4.838041006296211), (52.378728504145656, 4.838297101176056), (52.37870620414564, 4.838428501176183)]"
571788,osm_platform,0,,True,False,False,False,False,False,,,,,7.57,0.0,349796,349788,2023-07-25,"SRID=28992;LINESTRING(116862.572446882 488216.365408199,116855.247121471 488218.291360931)","[(52.38048620414666, 4.827084101164953), (52.38050300414671, 4.826976301164836)]"
571791,osm_platform,0,,True,False,False,False,False,False,,,,,9.29,0.0,350251,349796,2023-07-25,"SRID=28992;LINESTRING(116871.568859667 488214.05588423,116862.572446882 488216.365408199)","[(52.38046607287835, 4.827216486560952), (52.38048620414666, 4.827084101164953)]"
571794,osm_platform,0,,True,False,False,False,False,False,,,,,36.06,0.0,350348,350251,2023-07-25,"SRID=28992;LINESTRING(116906.447280071 488204.894334263,116890.189885748 488209.275567108,116871.568859667 488214.05588423)","[(52.380386157428966, 4.8277297572717135), (52.380424404146666, 4.827490501165342), (52.38046607287835, 4.827216486560952)]"
